City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Katsuura,JP,35.1333,140.3,61.75,65,83,15.61,broken clouds
128,Chicama,PE,-7.8447,-79.1469,61.34,76,98,5.19,overcast clouds
129,Mana,GF,5.6592,-53.7767,78.08,88,100,8.72,overcast clouds
130,Circleville,US,39.6006,-82.946,34.54,86,100,14.97,overcast clouds
131,Matay,EG,28.419,30.7792,60.71,51,100,4.92,overcast clouds
132,Saint-Pierre,RE,-21.3393,55.4781,67.91,55,0,5.75,clear sky
133,Saint Pete Beach,US,27.7253,-82.7412,67.15,71,40,6.91,scattered clouds
134,Clyde River,CA,70.4692,-68.5914,1.63,85,100,19.57,light snow
135,Victoria,HK,22.2855,114.1577,78.85,81,74,11.01,broken clouds
136,Skibbereen,IE,51.55,-9.2667,45.1,90,100,6.73,overcast clouds
137,Beringovskiy,RU,63.05,179.3167,31.8,94,100,3.42,overcast clouds
138,Mompos,CO,9.2419,-74.4267,76.73,94,100,1.88,overcast clouds
139,Yakeshi,CN,49.2833,120.7333,18.93,85,92,4.99,overcast clouds
140,Ginir,ET,7.1333,40.7,53.51,50,4,5.99,clear sky
141,Ahome,MX,25.9167,-109.1833,69.75,57,69,11.32,broken clouds
142,Henties Bay,NA,-22.116,14.2845,59.45,90,3,7.29,clear sky
143,Walvis Bay,NA,-22.9575,14.5053,60.1,88,0,12.66,clear sky
144,Yellowknife,CA,62.456,-114.3525,1.92,92,75,2.3,light snow
145,Oriximina,BR,-1.7656,-55.8661,81.36,60,100,0.49,overcast clouds
146,Ahuimanu,US,21.4447,-157.8378,83.91,60,40,18.41,scattered clouds
147,Lompoc,US,34.6391,-120.4579,62.74,49,0,6.91,clear sky
148,Nanortalik,GL,60.1432,-45.2371,21.29,78,53,19.04,broken clouds
149,Sobolevo,RU,54.4299,31.8996,24.55,81,6,6.49,clear sky
150,Kjopsvik,NO,68.097,16.3742,21.07,30,13,9.13,few clouds
151,Carballo,ES,43.213,-8.691,60.01,88,50,9.48,scattered clouds
152,Chara,RU,56.9064,118.2631,12.88,86,100,0.94,overcast clouds
153,Batemans Bay,AU,-35.7167,150.1833,62.1,42,6,9.13,clear sky
154,Vao,NC,-22.6667,167.4833,76.57,81,99,13.8,overcast clouds
155,Ilembula,TZ,-8.9,34.5833,63.57,79,92,8.28,overcast clouds
156,Cascais,PT,38.6979,-9.4215,65.93,99,100,18.01,overcast clouds
157,Pangnirtung,CA,66.1451,-65.7125,-1.71,83,80,3.44,broken clouds
158,Tazovskiy,RU,67.4667,78.7,-16.46,100,47,4.74,scattered clouds
159,Morehead,US,37.2711,-87.1764,36.99,59,75,11.5,broken clouds
160,East Millcreek,US,40.7,-111.8105,33.24,66,0,3.44,clear sky
161,Lasa,IT,46.6166,10.7002,41.88,72,100,1.5,overcast clouds
162,Sinnar,SD,13.5691,33.5672,74.19,28,11,14.45,few clouds
163,Araouane,ML,18.9048,-3.5265,73.06,15,100,10.22,overcast clouds
164,Ambunti,PG,-4.2365,142.8448,90.86,56,93,1.83,overcast clouds
165,Severo-Kurilsk,RU,50.6789,156.125,35.46,62,100,5.91,overcast clouds
166,Valparaiso,CL,-33.0393,-71.6273,60.44,82,0,5.75,clear sky
167,Luderitz,NA,-26.6481,15.1594,59.95,81,7,13.31,clear sky
168,Thompson,CA,55.7435,-97.8558,15.96,86,100,13.8,light snow
169,Gamba,GA,-2.65,10.0,75.99,85,99,8.81,light rain
170,Powassan,CA,46.0334,-79.3496,29.16,75,99,4.54,overcast clouds
171,Namatanai,PG,-3.6667,152.4333,85.01,67,100,7.36,overcast clouds
172,Sohbatpur,PK,28.5202,68.5434,65.43,42,0,3.8,clear sky
173,Rawson,AR,-43.3002,-65.1023,61.57,56,4,13.89,clear sky
174,Pisco,PE,-13.7,-76.2167,64.45,82,0,14.97,clear sky
175,Lata,PT,40.1629,-8.3327,63.07,98,100,9.75,light rain
176,Paciran,ID,-6.8767,112.3761,82.87,73,100,4.63,overcast clouds
177,Hofn,IS,64.2539,-15.2082,46.15,89,100,20.87,overcast clouds
178,Cherskiy,RU,68.75,161.3,1.35,97,100,2.8,light snow
179,Priladozhskiy,RU,59.85,31.4833,32.54,1,100,10.11,light snow
180,High Rock,BS,26.6208,-78.2833,75.22,70,16,3.09,few clouds
181,San Jose,US,37.3394,-121.895,62.85,40,40,5.75,scattered clouds
182,Mozarlandia,BR,-14.7447,-50.5706,78.62,62,0,3.38,clear sky
183,Lodja,CD,-3.4833,23.4333,67.77,96,100,1.25,overcast clouds
184,Ponta Delgada,PT,37.7333,-25.6667,63.5,94,75,2.3,light intensity shower rain
185,Abha,SA,18.2164,42.5053,51.62,50,0,0.0,clear sky
186,Quirinopolis,BR,-18.4483,-50.4517,74.21,39,0,5.06,clear sky
187,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.3,47,0,6.91,clear sky
188,Vardo,NO,70.3705,31.1107,35.58,48,72,16.11,broken clouds
189,Constitucion,CL,-35.3333,-72.4167,56.88,83,10,11.81,clear sky
190,Chokurdakh,RU,70.6333,147.9167,-23.24,100,84,5.23,broken clouds
191,Zanjan,IR,36.6736,48.4787,43.2,87,51,7.43,broken clouds
192,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,68,0,8.05,clear sky
193,Saint-Joseph,RE,-21.3667,55.6167,64.78,71,10,4.85,clear sky
194,Ilhabela,BR,-23.7781,-45.3581,69.03,79,0,3.91,clear sky
195,Sola,VU,-13.8833,167.55,82.54,71,9,8.08,clear sky
196,Nome,US,64.5011,-165.4064,32.07,80,100,21.85,overcast clouds
197,Tevriz,RU,57.509,72.4042,-9.27,96,34,4.07,scattered clouds
198,Saint George,US,37.1041,-113.5841,46.99,34,0,5.75,clear sky
199,Antofagasta,CL,-23.65,-70.4,61.88,83,31,4.25,scattered clouds
200,Araioses,BR,-2.89,-41.9031,78.51,77,10,10.02,clear sky
201,Nainpur,IN,22.4333,80.1167,62.62,58,0,2.51,clear sky
202,Santa Rosalia,MX,27.3167,-112.2833,62.91,53,0,10.45,clear sky
203,Meadow Lake,US,34.8014,-106.5436,38.68,50,7,6.69,clear sky
204,Yaan,NG,7.3833,8.5667,72.07,53,97,4.72,overcast clouds
205,Kaoma,ZM,-14.7833,24.8,62.13,95,4,3.24,clear sky
206,Nikolskoye,RU,59.7035,30.7861,33.69,86,100,7.16,overcast clouds
207,Dingle,PH,10.9995,122.6711,84.15,77,60,10.47,broken clouds
208,Markova,UA,48.6758,24.4138,42.06,97,100,3.87,overcast clouds
209,Myanaung,MM,18.2833,95.3167,76.48,69,6,10.76,clear sky
210,Kloulklubed,PW,7.0419,134.2556,79.3,81,100,15.19,overcast clouds
211,Russell,US,32.3502,-85.1999,47.8,66,0,4.61,clear sky
212,Ahipara,NZ,-35.1667,173.1667,68.56,71,100,10.6,light rain
213,Severobaykalsk,RU,55.65,109.3167,28.24,79,43,6.91,scattered clouds
