City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Norman Wells,CA,2022-11-13 00:00:25,65.282,-126.8329,17.47,93,100,4.29
99,Vila Franca Do Campo,PT,2022-11-13 00:00:26,37.7167,-25.4333,59.41,69,97,10.58
100,Srikakulam,IN,2022-11-13 00:00:27,18.3,83.9,69.82,79,22,6.8
101,Ampanihy,MG,2022-11-13 00:00:27,-24.7,44.75,70.48,82,55,13.13
102,Tucuma,BR,2022-11-12 23:57:47,-0.1833,-50.05,78.39,86,30,8.01
103,Vardo,NO,2022-11-13 00:00:28,70.3705,31.1107,37.38,65,75,14.97
104,Torbay,CA,2022-11-13 00:00:28,47.6666,-52.7314,49.75,98,100,16.11
105,Grindavik,IS,2022-11-13 00:00:29,63.8424,-22.4338,41.47,75,40,17.27
106,Dibulla,CO,2022-11-13 00:00:29,11.2725,-73.3091,78.15,88,92,3.67
107,Ambilobe,MG,2022-11-13 00:00:30,-13.2,49.05,71.62,86,35,3.0
108,Esperance,AU,2022-11-13 00:00:31,-33.8667,121.9,58.05,70,88,19.71
109,Micheweni,TZ,2022-11-13 00:00:31,-4.9667,39.8333,77.04,84,35,5.32
110,Bambous Virieux,MU,2022-11-13 00:00:32,-20.3428,57.7575,69.22,71,1,6.8
111,Talnakh,RU,2022-11-13 00:00:33,69.4865,88.3972,-27.35,92,15,3.06
112,Guerrero Negro,MX,2022-11-13 00:00:33,27.9769,-114.0611,66.83,44,62,12.82
113,Rudnichnyy,RU,2022-11-13 00:00:34,59.617,52.4703,37.65,98,100,6.67
114,Dikson,RU,2022-11-13 00:00:35,73.5069,80.5464,-9.9,100,96,5.57
115,Buraydah,SA,2022-11-12 23:56:26,26.326,43.975,66.65,55,2,9.82
116,Trairi,BR,2022-11-12 23:59:28,-3.2778,-39.2689,78.96,77,40,10.69
117,San Cristobal,VE,2022-11-13 00:00:36,7.7669,-72.225,67.01,98,100,1.43
118,Orange Cove,US,2022-11-13 00:00:36,36.6244,-119.3137,62.62,49,0,4.61
119,Tautira,PF,2022-11-13 00:00:36,-17.7333,-149.15,76.14,81,100,10.07
120,Maldonado,UY,2022-11-13 00:00:37,-34.6667,-54.9167,68.23,91,91,12.64
121,Puerto Ayora,EC,2022-11-13 00:00:38,-0.7393,-90.3518,69.55,86,31,7.0
